      Lon      Lat    Year    VegC LitterC   SoilC     Total
  -121.15    38.73    1950   0.866   1.449   3.891     6.206
  -121.15    38.73    1951   0.961   1.439   3.882     6.282
  -121.15    38.73    1952   1.083   1.381   3.883     6.347
  -121.15    38.73    1953   1.129   1.354   3.875     6.358
  -121.15    38.73    1954   1.225   1.323   3.870     6.417
  -121.15    38.73    1955   1.259   1.280   3.868     6.407
  -121.15    38.73    1956   1.198   1.268   3.868     6.334
  -121.15    38.73    1957   1.286   1.218   3.865     6.369
  -121.15    38.73    1958   1.432   1.190   3.860     6.482
  -121.15    38.73    1959   1.466   1.169   3.854     6.489
  -121.15    38.73    1960   1.545   1.139   3.850     6.533
  -121.15    38.73    1961   1.559   1.118   3.850     6.527
  -121.15    38.73    1962   1.493   1.091   3.845     6.428
  -121.15    38.73    1963   1.611   1.067   3.842     6.520
  -121.15    38.73    1964   1.673   1.046   3.838     6.556
  -121.15    38.73    1965   1.711   1.027   3.832     6.570
  -121.15    38.73    1966   1.786   1.008   3.826     6.621
  -121.15    38.73    1967   1.780   0.987   3.821     6.588
  -121.15    38.73    1968   1.787   0.976   3.818     6.582
  -121.15    38.73    1969   1.838   0.951   3.813     6.602
  -121.15    38.73    1970   1.852   0.942   3.806     6.601
  -121.15    38.73    1971   1.866   0.938   3.797     6.601
  -121.15    38.73    1972   1.907   0.925   3.791     6.623
  -121.15    38.73    1973   2.027   0.899   3.781     6.707
  -121.15    38.73    1974   2.128   0.895   3.774     6.797
  -121.15    38.73    1975   2.180   0.876   3.768     6.824
  -121.15    38.73    1976   2.164   0.860   3.763     6.786
  -121.15    38.73    1977   2.168   0.855   3.758     6.781
  -121.15    38.73    1978   2.141   0.875   3.752     6.768
  -121.15    38.73    1979   2.174   0.887   3.746     6.807
  -121.15    38.73    1980   2.162   0.884   3.744     6.789
  -121.15    38.73    1981   2.187   0.889   3.734     6.810
  -121.15    38.73    1982   2.215   0.872   3.726     6.813
  -121.15    38.73    1983   2.188   0.890   3.719     6.796
  -121.15    38.73    1984   2.341   0.872   3.708     6.921
  -121.15    38.73    1985   2.350   0.869   3.703     6.921
  -121.15    38.73    1986   2.363   0.865   3.697     6.925
  -121.15    38.73    1987   2.415   0.844   3.693     6.952
  -121.15    38.73    1988   2.469   0.830   3.687     6.986
  -121.15    38.73    1989   2.498   0.840   3.683     7.021
  -121.15    38.73    1990   2.476   0.843   3.677     6.996
  -121.15    38.73    1991   2.550   0.822   3.671     7.043
  -121.15    38.73    1992   2.488   0.849   3.669     7.006
  -121.15    38.73    1993   2.388   0.897   3.668     6.953
  -121.15    38.73    1994   1.947   1.256   3.666     6.868
  -121.15    38.73    1995   1.997   1.248   3.662     6.907
  -121.15    38.73    1996   1.921   1.334   3.652     6.907
  -121.15    38.73    1997   1.965   1.322   3.646     6.933
  -121.15    38.73    1998   1.939   1.413   3.642     6.993
  -121.15    38.73    1999   2.003   1.393   3.636     7.033
  -121.15    38.73    2000   2.056   1.352   3.634     7.042
  -121.15    38.73    2001   2.089   1.298   3.633     7.020
  -121.15    38.73    2002   2.084   1.309   3.632     7.026
  -121.15    38.73    2003   2.070   1.278   3.628     6.976
  -121.15    38.73    2004   2.056   1.257   3.622     6.934
  -121.15    38.73    2005   1.957   1.270   3.621     6.848
  -121.15    38.73    2006   2.015   1.245   3.614     6.873
  -121.15    38.73    2007   2.080   1.222   3.611     6.913
  -121.15    38.73    2008   2.212   1.209   3.605     7.025
  -121.15    38.73    2009   2.326   1.183   3.604     7.113
  -121.15    38.73    2010   2.279   1.170   3.606     7.055
  -121.15    38.73    2011   2.253   1.142   3.610     7.006
